Type,FSQ,
Version,4.75,
Date,01.Jan 03,
Mode,ANALYZER,
Center Freq,11200000000.000000,Hz
Freq Offset,0.000000,Hz
Span,1000000000.000000,Hz
x-Axis,LIN,
Start,10700000000.000000,Hz
Stop,11700000000.000000,Hz
Ref Level,-20.000000,dBm
Level Offset,0.000000,dB
Ref Position,100.000000,%
y-Axis,LOG,
Level Range,100.000000,dB
Rf Att,5.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,3000000.000000,Hz
SWT,0.020000,s
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Sweep Count,0,
Trace 1:,,
x-Unit,Hz,
y-Unit,dBm,
Preamplifier,OFF,
Transducer,OFF,
Values,1001,
10700000000,-77.423103332519531,
10701000000,-77.034912109375,
10702000000,-77.905586242675781,
10703000000,-76.769439697265625,
10704000000,-77.248611450195313,
10705000000,-76.449844360351563,
10706000000,-77.27996826171875,
10707000000,-77.235092163085938,
10708000000,-76.323783874511719,
10709000000,-77.388099670410156,
10710000000,-77.54547119140625,
10711000000,-77.859703063964844,
10712000000,-77.28704833984375,
10713000000,-76.954277038574219,
10714000000,-76.568511962890625,
10715000000,-77.06304931640625,
10716000000,-77.656745910644531,
10717000000,-77.54400634765625,
10718000000,-76.963424682617188,
10719000000,-77.846481323242188,
10720000000,-77.022941589355469,
10721000000,-78.028007507324219,
10722000000,-78.234359741210938,
10723000000,-77.659904479980469,
10724000000,-77.690605163574219,
10725000000,-76.966094970703125,
10726000000,-77.839744567871094,
10727000000,-77.437263488769531,
10728000000,-77.403793334960938,
10729000000,-77.581817626953125,
10730000000,-76.642929077148438,
10731000000,-77.020858764648437,
10732000000,-77.583480834960938,
10733000000,-77.247749328613281,
10734000000,-77.439765930175781,
10735000000,-76.472061157226563,
10736000000,-77.941917419433594,
10737000000,-76.796844482421875,
10738000000,-77.104461669921875,
10739000000,-77.6441650390625,
10740000000,-77.478019714355469,
10741000000,-77.669097900390625,
10742000000,-77.743698120117188,
10743000000,-78.205169677734375,
10744000000,-78.144378662109375,
10745000000,-77.404922485351563,
10746000000,-76.456596374511719,
10747000000,-78.163681030273438,
10748000000,-77.927474975585938,
10749000000,-76.419158935546875,
10750000000,-77.142562866210937,
10751000000,-77.850936889648437,
10752000000,-77.556747436523438,
10753000000,-76.326705932617188,
10754000000,-77.955955505371094,
10755000000,-77.649429321289062,
10756000000,-78.04449462890625,
10757000000,-76.409698486328125,
10758000000,-77.284843444824219,
10759000000,-78.001976013183594,
10760000000,-77.022331237792969,
10761000000,-77.22119140625,
10762000000,-77.619621276855469,
10763000000,-78.052345275878906,
10764000000,-77.515426635742187,
10765000000,-78.022361755371094,
10766000000,-77.627151489257813,
10767000000,-77.372901916503906,
10768000000,-78.082405090332031,
10769000000,-77.412818908691406,
10770000000,-78.162399291992188,
10771000000,-78.196151733398437,
10772000000,-78.192832946777344,
10773000000,-77.181419372558594,
10774000000,-77.226142883300781,
10775000000,-77.224945068359375,
10776000000,-77.997444152832031,
10777000000,-78.154930114746094,
10778000000,-78.395637512207031,
10779000000,-77.877449035644531,
10780000000,-77.658638000488281,
10781000000,-77.224884033203125,
10782000000,-77.894203186035156,
10783000000,-78.290428161621094,
10784000000,-77.513458251953125,
10785000000,-78.0283203125,
10786000000,-77.548568725585938,
10787000000,-77.564674377441406,
10788000000,-77.619209289550781,
10789000000,-77.968429565429687,
10790000000,-77.882484436035156,
10791000000,-77.214012145996094,
10792000000,-77.938652038574219,
10793000000,-78.020362854003906,
10794000000,-77.200965881347656,
10795000000,-77.922904968261719,
10796000000,-77.196601867675781,
10797000000,-75.702293395996094,
10798000000,-77.791847229003906,
10799000000,-77.452995300292969,
10800000000,-76.855979919433594,
10801000000,-78.13116455078125,
10802000000,-78.369720458984375,
10803000000,-78.081924438476562,
10804000000,-77.719367980957031,
10805000000,-78.252006530761719,
10806000000,-77.916358947753906,
10807000000,-76.792701721191406,
10808000000,-77.93963623046875,
10809000000,-77.745849609375,
10810000000,-77.81988525390625,
10811000000,-77.432952880859375,
10812000000,-78.343986511230469,
10813000000,-77.007270812988281,
10814000000,-77.983451843261719,
10815000000,-78.120018005371094,
10816000000,-77.746528625488281,
10817000000,-77.287879943847656,
10818000000,-77.945655822753906,
10819000000,-78.051254272460938,
10820000000,-77.178291320800781,
10821000000,-78.207199096679688,
10822000000,-77.997993469238281,
10823000000,-76.650604248046875,
10824000000,-77.596511840820313,
10825000000,-78.33587646484375,
10826000000,-78.091705322265625,
10827000000,-77.637802124023438,
10828000000,-77.681182861328125,
10829000000,-78.126617431640625,
10830000000,-76.881385803222656,
10831000000,-77.753387451171875,
10832000000,-77.903724670410156,
10833000000,-78.496269226074219,
10834000000,-77.009307861328125,
10835000000,-77.774696350097656,
10836000000,-77.58038330078125,
10837000000,-77.74237060546875,
10838000000,-77.378021240234375,
10839000000,-77.376670837402344,
10840000000,-77.762832641601563,
10841000000,-78.280487060546875,
10842000000,-78.066802978515625,
10843000000,-77.930564880371094,
10844000000,-77.600471496582031,
10845000000,-77.892906188964844,
10846000000,-78.30987548828125,
10847000000,-77.853607177734375,
10848000000,-77.008575439453125,
10849000000,-77.966270446777344,
10850000000,-77.540519714355469,
10851000000,-77.541984558105469,
10852000000,-77.757766723632812,
10853000000,-78.042587280273438,
10854000000,-78.156242370605469,
10855000000,-77.5528564453125,
10856000000,-78.185501098632812,
10857000000,-78.416839599609375,
10858000000,-78.4903564453125,
10859000000,-77.617355346679688,
10860000000,-77.456008911132812,
10861000000,-77.296463012695312,
